품목(대),품목(중),품목(소),등급,단위,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월,2022년1월,2022년2월,2022년3월,2022년4월,2022년5월,2022년6월,2022년7월,2022년8월,2022년9월,2022년10월,2022년11월,2022년12월,2023년1월,2023년2월,2023년3월,2023년4월,2023년5월,2023년6월,2023년7월,2023년8월,2023년9월,2023년10월,2023년11월,2023년12월,2024년1월,2024년2월,2024년3월,2024년4월,2024년5월,2024년6월,2024년7월,2024년8월,2024년9월,2024년10월,2024년11월,2024년12월,2025년1월,2025년2월,2025년3월,2025년4월,2025년5월,2025년6월,2025년7월,2025년8월,2025년9월,2025년10월,2025년11월,2025년12월
쇠고기,한우,갈비,(+1등급),원/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쇠고기,한우,등심,(+1등급),원/100g,12104,12399,12678,12668,12847,12789,12931,13070,13097,13528,13994,14063,13140,12838,12925,13354,13147,13108,12905,12706,12557,13084,12886,11816,12190,11587,10570,10387,10959,10878,11108,10394,10902,11302,11360,11120,11377,11106,10910,10852,10387,10484,10469,9588,10341,11399,11118,10938,11462,11412,10803,10747,10865,10545,10983,11075,11530,11349,11865,12195
쇠고기,한우,불고기,(+1등급),원/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쇠고기,한우,안심,(+1등급),원/100g,14445,15547,16105,15836,16058,16071,16334,16360,16593,17631,18213,18259,15533,15723,15624,15840,15961,16336,16136,16013,15691,16107,15319,14728,15421,14894,13234,13046,13875,13400,13614,13243,14323,13948,13599,13203,13999,13044,13034,13211,13392,13376,13496,13523,13716,14104,13722,13763,14203,14211,13763,13662,13626,13900,13948,14223,14752,13669,14106,13597
쇠고기,한우,양지,(+1등급),원/100g,7928,8092,8354,8028,8151,8263,8352,8058,8339,8593,8459,8406,6705,6554,6609,6658,6680,6763,6660,6426,6342,6657,6422,6205,6455,6360,5601,5330,5685,5554,5590,5610,5719,5672,5664,5805,5891,5910,5850,5593,5660,5725,5708,5629,5322,5926,5513,6243,6182,6085,6018,5995,6244,6193,5952,5806,6093,6395,6635,6732
쇠고기,한우,설도,(+1등급),원/100g,5689,5775,5849,5756,5905,5936,5870,5948,5974,6167,6235,6201,5330,5110,4992,4975,4999,5092,5200,5117,4960,5025,5052,4850,4829,4734,4257,4153,4298,4395,4335,4265,4289,4307,4457,4375,4266,4235,4257,3926,4155,3902,4188,4173,4014,4239,4167,4444,4453,4519,4465,4333,4398,4379,4533,4378,4382,4453,4600,4896
쇠고기,한우,갈비,1등급,원/100g,6400,6525,6525,6525,6525,6252,6525,6525,6525,6525,6525,7850,9613,9618,8493,7481,7134,6840,6753,6646,6694,6663,6687,6630,6684,6867,6827,6660,6671,6657,6758,6540,6931,6727,7222,7909,7409,7859,7926,7844,7360,8891,8830,8436,6553,6401,6182,7174,6682,6927,6214,6941,7043,6922,6863,6699,6514,6625,6655,6576
쇠고기,한우,등심,1등급,원/100g,10134,10054,10148,10003,10081,10170,10074,9917,10304,11093,10721,10878,11184,10958,10969,10917,10664,10523,10397,10201,10066,10508,10322,9958,9741,9437,9159,9126,9199,9442,9652,8467,8865,9304,9836,9384,9622,7269,8834,8730,8365,8481,8464,8133,8826,9585,9331,9150,9370,9454,9210,9076,9105,8959,9223,9542,9969,10079,10100,9757
쇠고기,한우,불고기,1등급,원/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쇠고기,한우,안심,1등급,원/100g,12627,13037,12660,13367,13134,13460,13592,13910,14486,15047,14998,14972,13862,13787,14016,13895,13685,13643,13458,13507,13075,13767,13647,13264,12793,12657,12134,12071,12301,12640,12659,12058,12619,12731,12604,12252,12643,12118,11922,12106,11989,11997,11754,11992,12153,12620,12480,12680,12882,12849,12326,12520,12111,12669,12693,12853,13423,13113,13081,13224
쇠고기,한우,양지,1등급,원/100g,5947,6208,6224,6334,6372,6481,6274,6327,6469,6657,6148,6172,6286,6425,6140,6209,6077,5963,5911,5688,5659,5976,5746,5823,5737,5725,5407,5135,5326,5380,5371,4906,5108,5029,5316,5545,5478,5487,5478,5355,5252,5351,5310,5323,5269,5496,5204,5705,5655,5729,5645,5653,5805,5796,5773,5532,5683,5969,5945,6052
쇠고기,한우,설도,1등급,원/100g,4831,4825,4841,5027,4970,4990,5017,5034,4959,4884,4985,4995,4808,4647,4665,4783,4537,4559,4587,4386,4290,4445,4413,4406,4234,4306,4055,4011,3916,4204,4215,3946,4069,3995,4033,4132,4067,4012,4085,3849,3792,3728,3857,3890,3648,4020,3944,4202,4176,4284,4263,4136,4123,4189,4226,4196,4261,4254,4374,4501
쇠고기,미국산,갈비,냉장,원/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쇠고기,미국산,등심,냉장,원/100g,3040,3042,2984,2927,2831,2671,2739,2775,2790,2951,3104,3103,3870,3737,3832,4153,4425,4493,4385,4311,4362,4393,4549,4259,4373,4429,4402,4366,4465,4480,4444,4319,4416,4396,4174,4223,4288,4354,4235,4191,4237,4349,4397,4474,4473,4403,4453,4231,4498,4614,4292,4113,4526,4585,4648,4910,5081,4981,4934,4861
쇠고기,미국산,불고기,냉장,원/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쇠고기,미국산,갈비,냉동,원/100g,2475,2462,2452,2446,2452,2493,2562,2577,2609,2682,2796,2934,4094,4098,4165,4282,4404,4379,4277,4284,4271,4340,4232,4139,4098,3905,3689,3712,3734,3620,3742,4093,3877,3904,4128,4150,4054,4107,4174,4080,4049,4020,4192,4270,4147,4304,4391,4471,4371,4535,4568,4685,4612,4530,4342,4315,4288,4435,4426,4488
쇠고기,미국산,등심,냉동,원/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쇠고기,미국산,불고기,냉동,원/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쇠고기,호주산,갈비,냉장,원/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쇠고기,호주산,등심,냉장,원/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쇠고기,호주산,불고기,냉장,원/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쇠고기,호주산,갈비,냉동,원/100g,2469,2457,2401,2394,2414,2447,2493,2477,2457,2583,2622,2717,3456,3727,3934,4248,4413,4568,4447,4487,4393,4427,4486,4474,4275,4188,4062,3962,4027,3914,3982,4320,3900,3905,3934,3955,4110,4262,4317,4176,4035,3969,4130,4092,4063,4380,4430,4358,4333,4500,4427,4482,4500,4373,4047,4131,4120,4314,4319,4317
쇠고기,호주산,등심,냉동,원/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
